x,y,yaw,v
111.8766,1282.8984,1.1463,22.4210
112.4859,1284.2506,1.1463,22.3790
113.0909,1285.5903,1.1463,22.3470
113.6984,1286.9341,1.1464,22.3133
114.3080,1288.2826,1.1465,22.2797
114.9332,1289.6663,1.1464,22.2335
115.5399,1291.0094,1.1465,22.1975
116.1371,1292.3314,1.1466,22.1644
116.7460,1293.6797,1.1467,22.1214
117.3453,1295.0071,1.1467,22.0894
117.9521,1296.3512,1.1466,22.0575
118.5312,1297.6343,1.1467,22.0146
119.1315,1298.9644,1.1467,21.9829
119.7261,1300.2832,1.1532,21.9442
120.3165,1301.5996,1.1722,21.8989
120.8942,1302.9275,1.1910,21.8389
121.4371,1304.2463,1.1991,21.8016
121.9693,1305.5984,1.2011,21.7660
122.5158,1307.0093,1.2013,21.7230
123.0141,1308.3032,1.2013,21.6896
123.5170,1309.6077,1.2024,21.6563
124.0341,1310.9490,1.2157,21.5995
124.5222,1312.2413,1.2392,21.5421
125.0079,1313.5917,1.2680,21.4928
125.4512,1314.9187,1.2877,21.4493
125.8611,1316.2717,1.2946,21.3974
126.2570,1317.6533,1.2961,21.3599
126.6223,1318.9591,1.3052,21.3167
126.9917,1320.2990,1.3283,21.2506
127.3399,1321.6571,1.3584,21.1958
127.6656,1323.0277,1.3880,21.1528
127.9428,1324.3568,1.4063,21.1087
128.1906,1325.7532,1.4118,21.0560
128.4019,1327.0649,1.4127,21.0174
128.6179,1328.4312,1.4127,20.9843
128.8306,1329.7887,1.4125,20.9501
129.0436,1331.1450,1.4124,20.9025
129.2487,1332.4413,1.4124,20.8677
129.4634,1333.7908,1.4125,20.8328
129.6775,1335.1353,1.4125,20.7989
129.8940,1336.4949,1.4125,20.7552
130.0980,1337.7780,1.4125,20.7239
130.3092,1339.1089,1.4125,20.6916
130.5242,1340.4592,1.4125,20.6589
130.7301,1341.7544,1.4125,20.6158
130.9474,1343.1183,1.4124,20.5834
131.1606,1344.4550,1.4123,20.5506
131.3675,1345.7549,1.4137,20.5174
131.5746,1347.0520,1.4263,20.4588
131.7751,1348.3734,1.4504,20.3988
131.9547,1349.6975,1.4783,20.3503
132.0965,1350.9924,1.4947,20.3037
132.2099,1352.3496,1.4994,20.2506
132.3040,1353.6421,1.5004,20.2126
132.3952,1354.9608,1.5005,20.1799
132.4858,1356.2802,1.5004,20.1398
132.5780,1357.6062,1.5003,20.1093
132.6679,1358.8906,1.5003,20.0793
132.7604,1360.2057,1.5003,20.0490
132.8516,1361.4998,1.5003,20.0078
132.9443,1362.8163,1.5003,19.9769
133.0319,1364.0592,1.5003,19.9459
133.1201,1365.3201,1.5084,19.9073
133.2043,1366.5548,1.5177,19.8696
133.2771,1367.8523,1.5198,19.8279
133.3397,1369.0769,1.5200,19.7971
